Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC
1,0.9166666666666666,0.5,0.0,0.0,0.0,0.0
2,0.9166666666666666,0.5,0.0,0.0,0.0,0.0
3,0.8333333333333334,0.7,0.5,0.5,0.5,0.4
4,0.9166666666666666,0.75,1.0,0.5,0.6666666666666666,0.674199862463242
5,0.8333333333333334,0.9,0.5,1.0,0.6666666666666666,0.6324555320336759
6,0.9166666666666666,0.75,1.0,0.5,0.6666666666666666,0.674199862463242
7,0.6666666666666666,0.4,0.0,0.0,0.0,-0.2
8,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
9,0.9090909090909091,0.95,0.5,1.0,0.6666666666666666,0.6708203932499369
10,1.0,1.0,1.0,1.0,1.0,1.0
